I/MNNJNI: LOSS: 2.774829 || dataLoad:1.47 | Forward:0.19 | LossCalc:0.17 | Backward:9.04
I/MNNJNI: LOSS: 2.739435 || dataLoad:1.45 | Forward:0.19 | LossCalc:0.17 | Backward:9.11
I/MNNJNI: LOSS: 2.712724 || dataLoad:1.45 | Forward:0.20 | LossCalc:0.17 | Backward:9.07
I/MNNJNI: LOSS: 2.598266 || dataLoad:1.45 | Forward:0.19 | LossCalc:0.17 | Backward:9.03
I/MNNJNI: LOSS: 2.516646 || dataLoad:1.44 | Forward:0.20 | LossCalc:0.17 | Backward:8.99
I/MNNJNI: LOSS: 2.546571 || dataLoad:1.45 | Forward:0.19 | LossCalc:0.19 | Backward:8.98
I/MNNJNI: LOSS: 2.538996 || dataLoad:1.45 | Forward:0.19 | LossCalc:0.18 | Backward:9.00
I/MNNJNI: LOSS: 2.530951 || dataLoad:1.44 | Forward:0.20 | LossCalc:0.17 | Backward:8.94
I/MNNJNI: LOSS: 2.499968 || dataLoad:1.44 | Forward:0.19 | LossCalc:0.17 | Backward:8.90
I/MNNJNI: LOSS: 2.424557 || dataLoad:1.45 | Forward:0.19 | LossCalc:0.17 | Backward:8.95
DONE
I/MNNJNI: LOSS: 2.739433 || dataLoad:4.45 | Forward:0.61 | LossCalc:0.53 | Backward:124.71
I/MNNJNI: LOSS: 2.712741 || dataLoad:4.43 | Forward:0.65 | LossCalc:0.55 | Backward:124.34
I/MNNJNI: LOSS: 2.598276 || dataLoad:4.59 | Forward:0.64 | LossCalc:0.56 | Backward:129.56
I/MNNJNI: LOSS: 2.516651 || dataLoad:4.54 | Forward:0.60 | LossCalc:0.54 | Backward:119.58
I/MNNJNI: LOSS: 2.546573 || dataLoad:4.70 | Forward:0.64 | LossCalc:0.55 | Backward:125.66
I/MNNJNI: LOSS: 2.539001 || dataLoad:4.79 | Forward:0.63 | LossCalc:0.56 | Backward:130.99
I/MNNJNI: LOSS: 2.530956 || dataLoad:4.50 | Forward:0.60 | LossCalc:0.53 | Backward:121.91
I/MNNJNI: LOSS: 2.499960 || dataLoad:6.71 | Forward:0.89 | LossCalc:0.72 | Backward:149.01
I/MNNJNI: LOSS: 2.424545 || dataLoad:8.94 | Forward:1.10 | LossCalc:0.94 | Backward:164.15
