I/MNNJNI: WIDTH: 31
I/MNNJNI: MODE_BIG: 19,22,16,17,15,16,16,16,22,17,36,18,17,16,16,16,16,16,18,16,16,17,18,16,16,18,16,16,16,16,16,17,16,16,16,16,16,17,16,16,15,18,16,16,16,16,15,16,15,16,16,15,16,16,15,16,16,15,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,23,16,16,16,16,16,15,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,17,15,17,16,16,16,17,16,16,16,15,16,16,15,16,16,16,16,17,16,15,16,16,16,16,16,15,16,17,16,16,16,16,16,15,16,16,42,41,41,42,42,41,41,42,41,42,41,42,41,42,42,44,42,41,41,42,43,41,40,44,45,52,42,43,43,41,43,43,50,42,43,43,41,42,34,51,42,41,42,92,64,45,43,42,43,42,43,42,42,40,42,42,42,41,42,41,44,43,44,52,42,42,42,42,42,43,43,41,43,42,43,42,42,42,41,42,43,51,42,44,41,42,43,43,41,50,41,41,42,40,41,43,50,41,42,42,42,50,41,42,41,42,42,41,42,42,42,41,42,34,
I/MNNJNI: MODE_DEFAULT: 43,51,43,41,42,43,41,43,52,42,41,42,37,52,43,42,42,42,42,42,41,42,41,43,41,42,35,52,44,42,42,42,43,52,42,42,42,41,42,42,41,42,41,42,42,42,44,41,41,41,41,42,41,42,41,42,42,42,41,42,67,51,41,41,42,42,42,45,53,43,34,42,42,41,42,43,41,42,51,41,42,42,41,43,42,43,42,45,52,62,59,49,42,41,42,41,42,42,42,42,42,43,41,42,41,43,42,51,42,41,42,41,42,42,41,42,43,41,39,39,38,38,41,38,42,42,38,38,38,38,43,43,35,42,42,38,39,39,38,34,39,38,37,38,38,37,39,48,38,39,46,38,38,37,38,30,38,38,38,42,38,38,36,37,39,38,38,39,38,47,39,41,39,37,38,38,32,39,41,39,39,37,39,39,38,42,32,67,39,38,39,39,37,38,39,39,39,46,30,42,38,43,36,42,39,42,38,42,39,38,37,37,39,42,38,42,38,38,40,39,39,35,38,41,38,39,46,34,42,39,38,38,38,45,38,39,38,38,39,42,38,39,39,39,41,39,43,39,39,38,
I/MNNJNI: MODE_LITTLE: 214,216,215,215,215,215,215,216,214,215,215,215,216,214,216,255,216,215,214,214,214,213,215,214,214,215,215,214,215,215,213,215,214,251,277,220,215,217,215,215,262,215,214,216,216,216,258,214,216,214,215,260,253,216,215,397,225,216,214,216,216,215,214,214,214,214,214,214,252,216,214,215,214,214,377,216,214,214,215,214,213,214,215,215,215,214,256,215,216,215,215,215,215,216,214,220,260,215,214,216,215,268,1168,112,110,111,110,110,111,111,113,274,112,111,110,111,110,110,111,114,143,111,110,110,110,111,111,110,110,111,151,141,112,110,111,111,112,111,111,110,110,112,111,111,110,111,110,111,111,111,110,111,110,112,111,111,109,110,111,110,111,111,110,111,110,148,118,111,109,110,110,111,110,112,110,110,110,112,111,110,112,111,110,111,111,109,111,111,111,110,111,110,112,113,111,110,110,110,111,110,111,176,116,111,136,111,112,110,110,109,111,111,111,110,110,111,112,112,110,110,109,1483,111,112,168,112,111,112,111,111,113,112,111,112,111,110,110,111,110,110,111,111,110,111,111,110,110,110,110,111,
    WIDTH: 32
I/MNNJNI: MODE_BIG: 18,18,16,16,16,16,18,18,25,17,16,16,16,16,16,16,16,18,18,16,17,19,17,17,16,16,18,18,16,16,16,17,17,16,16,18,18,16,16,18,18,16,17,17,19,16,16,16,17,17,17,17,16,16,18,16,16,16,16,17,18,16,18,18,16,16,16,18,16,17,17,16,18,18,16,16,18,17,16,16,16,16,18,17,16,16,18,16,16,16,16,17,17,16,16,16,18,18,15,16,18,592,18,16,16,16,18,18,16,17,18,16,15,18,16,16,16,17,16,16,16,18,16,16,16,16,16,16,16,18,19,17,49,17,16,16,16,18,16,16,16,16,18,16,16,16,17,16,18,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,15,16,16,16,16,16,61,17,15,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,15,16,16,15,16,16,15,16,16,16,17,16,15,16,15,16,15,16,15,16,16,16,15,16,15,16,18,16,21,29,23,26,26,22,25,25,22,26,23,25,25,26,22,25,25,23,26,22,25,
I/MNNJNI: MODE_DEFAULT: 25,25,26,26,26,23,26,25,29,25,26,26,22,25,26,26,26,26,26,22,26,23,26,26,23,25,25,25,22,25,26,25,26,23,26,25,25,22,26,26,26,26,22,26,23,24,25,25,22,25,26,23,26,25,22,26,26,26,22,25,25,22,25,26,25,25,22,25,25,26,23,25,25,26,26,22,58,17,26,23,25,26,22,26,26,26,23,25,25,22,26,22,26,26,22,26,23,26,25,22,23,25,25,22,25,25,22,26,25,26,23,25,25,25,26,26,22,26,26,23,26,26,23,25,22,26,26,22,31,23,26,22,25,26,25,26,23,25,22,26,25,22,26,23,25,25,25,22,26,26,23,25,26,23,25,25,22,26,22,25,25,22,26,25,22,25,26,23,26,22,25,26,22,25,23,25,25,22,26,26,23,26,26,22,26,22,25,26,23,25,25,27,25,26,23,26,26,22,25,26,22,26,26,22,26,22,25,25,25,22,25,23,25,26,26,22,26,25,22,26,25,26,23,25,26,22,25,25,22,25,26,23,26,47,26,22,26,26,25,25,22,25,25,25,22,25,25,22,26,22,
I/MNNJNI: MODE_LITTLE: 112,119,112,111,112,111,218,227,112,112,111,112,111,112,111,112,111,112,112,112,112,112,111,112,112,112,112,112,112,112,111,112,111,173,112,113,112,113,113,112,112,162,113,112,111,112,113,112,123,111,111,112,112,112,111,113,112,112,122,169,113,104,15,14,15,14,14,14,15,15,15,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,15,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,13,14,14,14,14,15,15,14,14,14,14,15,14,14,14,14,15,14,14,14,13,14,14,14,15,14,14,14,14,15,14,14,14,14,13,14,14,14,15,14,14,14,14,15,14,90,15,14,14,14,15,14,14,14,14,15,14,14,14,160,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,15,14,14,14,15,14,14,14,15,14,14,14,14,14,15,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,15,14,14,14,15,15,14,15,14,14,14,14,14,14,14,14,15,14,14,14,14,14,
I/MNNJNI: WIDTH: 33
I/MNNJNI: MODE_BIG: 17,17,16,16,17,16,17,16,17,17,30,41,17,16,16,17,16,17,16,17,17,16,16,16,17,16,16,17,17,17,17,16,17,16,16,16,16,16,16,16,16,17,17,17,16,16,16,16,16,16,17,20,16,17,17,17,17,16,16,17,17,17,17,16,17,17,17,17,17,16,17,17,17,17,36,17,17,16,18,17,16,17,16,16,17,17,17,20,91,46,17,30,23,19,17,17,16,16,17,17,17,16,16,16,18,16,17,17,16,16,17,17,16,34,17,17,16,17,17,17,17,16,39,16,16,16,16,17,23,17,16,16,16,17,17,16,16,26,43,18,16,17,17,16,16,17,16,17,16,16,17,17,16,16,17,16,17,16,16,16,16,16,16,16,17,14,14,24,14,15,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,22,28,15,14,445,14,14,14,29,14,14,162,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,
I/MNNJNI: MODE_DEFAULT: 15,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,15,14,14,14,14,14,14,14,14,15,15,15,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,15,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,15,14,14,14,15,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,15,14,14,14,13,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,15,14,14,14,15,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,15,15,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,13,14,14,15,14,14,14,14,14,14,14,14,14,14,14,163,15,14,14,15,14,14,14,37,14,40,14,67,14,14,14,14,14,
